,FIELD_ID,DATE_COLLECT,UPPPER,LOWER,TOP_CM,Depth,UNIT,LOCATE_DESC,HORIZON,DATUM,LATITUDE,LONGITUDE,SAMPLE_SOURCE,As_ppm,As_ppm_AM,Cr_ppm,Cr_ppm_AM,Hg_ppm,Hg_ppm_AM,Ni_ppm,Ni_ppm_AM,Pb_ppm,Pb_ppm_AM
1,99EB701SO,7/8/99,0,25,0,surface,cm,"upstream on Red Devil Ck, abv water pump shack, out of flood plain",NA,WGS84,61.75541,-157.3095,shrub covered,24.9,AA_HG_ST,74,AES_HF,3.19,AA_CV,31,AES_HF,13,AES_HF
250,01AK01SA,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.3568,-144.6101,forest/scattered timberland,4.5,AA_HG_ST,73,MS_HF,0.06,AA_CV,19,MS_HF,20,MS_HF
251,01AK02SA,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.3573,-144.6066,forest/scattered timberland,15,AA_HG_ST,110,MS_HF,0.06,AA_CV,42,MS_HF,24,MS_HF
252,01AK03SA,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.3557,-144.6089,forest/scattered timberland,19,AA_HG_ST,72,MS_HF,0.02,AA_CV,19,MS_HF,24,MS_HF
253,01AK04SA,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.4344,-144.679,forest/scattered timberland,7,AA_HG_ST,87,MS_HF,0.1,AA_CV,36,MS_HF,22,MS_HF
254,01AK05SA,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.4331,-144.6801,forest/scattered timberland,21,AA_HG_ST,100,MS_HF,0.04,AA_CV,40,MS_HF,19,MS_HF
255,01AK06SA,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.4478,-144.698,forest/scattered timberland,12,AA_HG_ST,74,MS_HF,0.17,AA_CV,50,MS_HF,28,MS_HF
256,01AK06SB,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.4478,-144.698,forest/scattered timberland,14,AA_HG_ST,49,MS_HF,0.04,AA_CV,15,MS_HF,14,MS_HF
257,01AK07SB,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.4828,-144.7464,forest/scattered timberland,35,AA_HG_ST,72,MS_HF,0.02,AA_CV,22,MS_HF,21,MS_HF
258,01AK08SA2,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.423,-144.5669,forest/scattered timberland,140,AA_HG_ST,120,MS_HF,0.09,AA_CV,52,MS_HF,21,MS_HF
259,01AK08SB2,7/1/01,0,10,0,surface,cm,NA,poorly defined,NAD27,64.423,-144.5669,forest/scattered timberland,180,AA_HG_ST,120,MS_HF,0.04,AA_CV,50,MS_HF,20,MS_HF
